13
--app sort --impl procs --maps 10 --reduces 10 --input test/sort_input.csv --output sort_out.txt
print_table found the array's size to be 1 items
list 0 has 10000 elements
word: 137398590, count: 0
word: 233081433, count: 0
word: 45847050, count: 0
word: 117308266, count: 0
word: 113035848, count: 0
word: 183655340, count: 0
word: 38666279, count: 0
word: 213353105, count: 0
word: 127834529, count: 0
word: 88770561, count: 0
word: 192256136, count: 0
word: 191858401, count: 0
word: 209794936, count: 0
word: 123344733, count: 0
word: 255458048, count: 0
word: 118170378, count: 0
word: 126689955, count: 0
word: 169212889, count: 0
word: 254655361, count: 0
word: 109425009, count: 0
word: 235026256, count: 0
word: 28321836, count: 0
word: 84220501, count: 0
word: 257171523, count: 0
word: 11472699, count: 0
word: 142197845, count: 0
word: 250121895, count: 0
word: 69912596, count: 0
word: 209428228, count: 0
word: 133654617, count: 0
word: 119038721, count: 0
word: 242871368, count: 0
word: 75088457, count: 0
word: 218237100, count: 0
word: 80079936, count: 0
word: 892050, count: 0
word: 27244125, count: 0
word: 122170932, count: 0
word: 3004836, count: 0
word: 73442384, count: 0
word: 37901352, count: 0
word: 191622339, count: 0
word: 233373816, count: 0
word: 128948607, count: 0
word: 198250043, count: 0
word: 134757059, count: 0
word: 78576626, count: 0
word: 171360458, count: 0
word: 192035141, count: 0
word: 101884436, count: 0
word: 105455302, count: 0
word: 215575272, count: 0
word: 20268865, count: 0
word: 73989891, count: 0
word: 252950018, count: 0
word: 148457734, count: 0
word: 134011011, count: 0
word: 183873754, count: 0
word: 190830840, count: 0
word: 8521875, count: 0
word: 108989354, count: 0
word: 81922481, count: 0
word: 228926281, count: 0
word: 68891130, count: 0
word: 169494145, count: 0
word: 268294734, count: 0
word: 92193306, count: 0
word: 107699179, count: 0
word: 179739870, count: 0
word: 122000636, count: 0
word: 65506726, count: 0
word: 257203902, count: 0
word: 135159933, count: 0
word: 102339358, count: 0
word: 241688722, count: 0
word: 141196776, count: 0
word: 160961570, count: 0
word: 164035210, count: 0
word: 38197091, count: 0
word: 132373143, count: 0
word: 32839163, count: 0
word: 192199733, count: 0
word: 18975584, count: 0
word: 152397136, count: 0
word: 78342559, count: 0
word: 208930818, count: 0
word: 252700765, count: 0
word: 12348157, count: 0
word: 221588218, count: 0
word: 68241234, count: 0
word: 86443111, count: 0
word: 37073074, count: 0
word: 205278041, count: 0
word: 258364272, count: 0
word: 194800728, count: 0
word: 257091469, count: 0
word: 98987348, count: 0
word: 153904126, count: 0
word: 2768306, count: 0
word: 180970390, count: 0
word: 64982521, count: 0
word: 126284278, count: 0
word: 179095686, count: 0
word: 37305752, count: 0
word: 160011022, count: 0
word: 153425968, count: 0
word: 183120207, count: 0
word: 76747191, count: 0
word: 120523800, count: 0
word: 25455087, count: 0
word: 47774889, count: 0
word: 81500036, count: 0
word: 203556900, count: 0
word: 218852879, count: 0
word: 194495421, count: 0
word: 180025597, count: 0
word: 37401681, count: 0
word: 261604751, count: 0
word: 100061983, count: 0
word: 73439363, count: 0
word: 109163929, count: 0
word: 267227454, count: 0
word: 211703731, count: 0
word: 10860393, count: 0
word: 68878606, count: 0
word: 80689799, count: 0
word: 155419186, count: 0
word: 10100729, count: 0
word: 111791831, count: 0
word: 141829541, count: 0
word: 234815998, count: 0
word: 127074351, count: 0
word: 114534231, count: 0
word: 121616608, count: 0
word: 105293944, count: 0
word: 220150127, count: 0
word: 140478528, count: 0
word: 188803744, count: 0
word: 58634187, count: 0
word: 119963142, count: 0
word: 108726815, count: 0
word: 35650526, count: 0
word: 172575894, count: 0
word: 37374576, count: 0
word: 240606724, count: 0
word: 148832623, count: 0
word: 102425031, count: 0
word: 4670613, count: 0
word: 118403339, count: 0
word: 101740326, count: 0
word: 87019329, count: 0
word: 202016179, count: 0
word: 48580233, count: 0
word: 245875666, count: 0
word: 242079094, count: 0
word: 18260568, count: 0
word: 141500814, count: 0
word: 54335933, count: 0
word: 190316176, count: 0
word: 228929050, count: 0
word: 110590743, count: 0
word: 198323154, count: 0
word: 255006145, count: 0
word: 194329458, count: 0
word: 9282511, count: 0
word: 58361563, count: 0
word: 1265532, count: 0
word: 181893618, count: 0
word: 145721356, count: 0
word: 173877156, count: 0
word: 62183110, count: 0
word: 171978766, count: 0
word: 247745949, count: 0
word: 5665022, count: 0
word: 13543863, count: 0
word: 227702404, count: 0
word: 224643704, count: 0
word: 41571974, count: 0
word: 79048515, count: 0
word: 239728174, count: 0
word: 190898491, count: 0
word: 196739109, count: 0
word: 196765790, count: 0
word: 151560778, count: 0
word: 193768498, count: 0
word: 186208960, count: 0
word: 237357680, count: 0
word: 264072642, count: 0
word: 100408142, count: 0
word: 84733068, count: 0
word: 148630445, count: 0
word: 117233697, count: 0
word: 78865322, count: 0
word: 129687334, count: 0
word: 92209979, count: 0
word: 249288240, count: 0
word: 118764702, count: 0
word: 121950730, count: 0
word: 261415395, count: 0
word: 255829861, count: 0
word: 144571037, count: 0
word: 3117929, count: 0
word: 94052306, count: 0
word: 87507119, count: 0
word: 59150876, count: 0
word: 24745052, count: 0
word: 5968544, count: 0
word: 180826043, count: 0
word: 159601483, count: 0
word: 202788231, count: 0
word: 174192958, count: 0
word: 246512258, count: 0
word: 232538422, count: 0
word: 145317569, count: 0
word: 2011281, count: 0
word: 46850682, count: 0
word: 54420809, count: 0
word: 136344109, count: 0
word: 83708718, count: 0
word: 36715124, count: 0
word: 140755598, count: 0
word: 239203603, count: 0
word: 165941593, count: 0
word: 245477841, count: 0
word: 110722259, count: 0
word: 180124536, count: 0
word: 265417079, count: 0
word: 233530741, count: 0
word: 248565928, count: 0
word: 63619689, count: 0
word: 252271537, count: 0
word: 163807665, count: 0
word: 8515702, count: 0
word: 129716305, count: 0
word: 174413893, count: 0
word: 114566720, count: 0
word: 129035223, count: 0
word: 102410921, count: 0
word: 200548631, count: 0
word: 251605196, count: 0
word: 22093151, count: 0
word: 184968605, count: 0
word: 134525261, count: 0
word: 43914482, count: 0
word: 177449662, count: 0
word: 262024792, count: 0
word: 260045443, count: 0
word: 152345138, count: 0
word: 150851924, count: 0
word: 124588214, count: 0
word: 9794993, count: 0
word: 254909810, count: 0
word: 105876353, count: 0
word: 129268448, count: 0
word: 163381297, count: 0
word: 262471770, count: 0
word: 223107128, count: 0
word: 558998, count: 0
